Unnamed: 0,issue_id,created_date,issue_region,nps_score,nps_category,nps_sentiment,nps_sentiment_type,sla_adherence
51,ENT-38890,2024-05-10,AMER,,,,,1.0
52,ENT-39004,2024-05-13,EMEA,,,,,1.0
53,ENT-39083,2024-05-14,APAC,,,,,0.909090909
54,ENT-39158,2024-05-14,EMEA,,,,,1.0
55,ENT-39205,2024-05-14,AMER,,,,,0.894736842
56,ENT-39214,2024-04-08,AMER,,,,,1.0
57,ENT-39253,2024-05-15,APAC,,,,,1.0
58,ENT-39281,2024-05-15,EMEA,,,,,1.0
59,ENT-39289,2024-05-15,AMER,,,,,0.857142857
60,ENT-39296,2024-05-15,EMEA,,,,,1.0
61,ENT-39330,2024-05-15,AMER,,,,,1.0
62,ENT-39357,2024-05-15,AMER,,,,,1.0
63,ENT-39373,2024-05-16,AMER,,,,,1.0
64,ENT-39445,2024-05-16,AMER,,,,,0.857142857
65,ENT-39446,2024-05-16,AMER,,,,,1.0
66,ENT-39460,2024-05-16,AMER,,,,,1.0
67,ENT-39468,2024-05-16,AMER,,,,,0.8
68,ENT-39509,2024-05-17,EMEA,,,,,1.0
69,ENT-39512,2024-05-17,EMEA,,,,,1.0
70,ENT-39515,2024-05-17,EMEA,,,,,1.0
71,ENT-39525,2024-05-17,EMEA,,,,,1.0
72,ENT-39562,2024-05-17,AMER,10.0,Promoter,,,0.954545455
73,ENT-39568,2024-05-17,AMER,,,,,1.0
74,ENT-39572,2024-05-17,AMER,,,,,0.695652174
75,ENT-39577,2024-05-17,AMER,,,,,1.0
76,ENT-39598,2024-05-20,APAC,10.0,Promoter,1.0,Positive,0.947368421
77,ENT-39633,2024-05-20,AMER,,,,,1.0
78,ENT-39713,2024-05-20,EMEA,,,,,0.833333333
79,ENT-39736,2024-05-21,AMER,,,,,1.0
80,ENT-39746,2024-05-21,EMEA,10.0,Promoter,,,0.5
81,ENT-39770,2024-05-20,EMEA,,,,,0.95
82,ENT-39772,2024-05-20,EMEA,,,,,1.0
83,ENT-39816,2024-05-21,AMER,,,,,0.941176471
84,ENT-39881,2024-05-22,EMEA,,,,,1.0
85,ENT-39940,2024-05-22,AMER,,,,,1.0
86,ENT-39947,2024-05-22,AMER,,,,,1.0
87,ENT-39985,2024-05-23,EMEA,,,,,1.0
88,ENT-40002,2024-05-23,EMEA,,,,,0.923076923
89,ENT-40028,2024-05-23,EMEA,,,,,0.8
90,ENT-40089,2024-05-24,APAC,8.0,Passive,,,0.909090909
91,ENT-40115,2024-05-24,EMEA,,,,,1.0
92,ENT-40118,2024-05-22,EMEA,,,,,1.0
93,ENT-40150,2024-05-24,EMEA,,,,,1.0
94,ENT-40167,2024-05-24,AMER,,,,,1.0
95,ENT-40190,2024-05-25,AMER,,,,,0.916666667
96,ENT-40191,2024-05-25,AMER,,,,,1.0
97,ENT-40201,2024-05-27,APAC,,,,,1.0
98,ENT-40208,2024-05-27,EMEA,,,,,1.0
99,ENT-40220,2024-05-27,EMEA,,,,,1.0
100,ENT-40250,2024-05-27,EMEA,10.0,Promoter,,,1.0
101,ENT-40264,2024-05-27,EMEA,,,,,1.0
102,ENT-40266,2024-05-27,EMEA,10.0,Promoter,,,1.0
103,ENT-40267,2024-05-20,AMER,,,,,0.75
104,ENT-40271,2024-05-27,AMER,,,,,1.0
105,ENT-40287,2024-05-28,EMEA,,,,,1.0
106,ENT-40300,2024-05-28,EMEA,,,,,0.930232558
107,ENT-40333,2024-05-28,EMEA,,,,,1.0
108,ENT-40339,2024-05-22,AMER,,,,,1.0
109,ENT-40351,2024-05-28,AMER,,,,,0.571428571
110,ENT-40407,2024-05-29,APAC,,,,,1.0
111,ENT-40426,2024-05-29,APAC,,,,,1.0
112,ENT-40484,2024-05-29,AMER,,,,,1.0
113,ENT-40501,2024-05-29,EMEA,,,,,0.882352941
114,ENT-40503,2024-05-29,AMER,,,,,1.0
115,ENT-40522,2024-05-29,AMER,,,,,1.0
116,ENT-40546,2024-05-30,APAC,,,,,1.0
117,ENT-40549,2024-05-30,APAC,,,,,0.9
118,ENT-40631,2024-05-29,AMER,,,,,1.0
119,ENT-40633,2024-05-30,AMER,,,,,1.0
120,ENT-40640,2024-05-30,AMER,,,,,1.0
121,ENT-40649,2024-05-30,AMER,,,,,0.833333333
122,ENT-40659,2024-05-31,APAC,,,,,1.0
123,ENT-40683,2024-05-31,EMEA,,,,,1.0
124,ENT-40713,2024-05-31,AMER,,,,,1.0
125,ENT-40714,2024-05-31,AMER,,,,,1.0
126,ENT-40733,2024-05-31,EMEA,,,,,1.0
127,ENT-40751,2024-05-31,AMER,,,,,1.0
128,ENT-40752,2024-05-31,AMER,,,,,0.714285714
129,ENT-40768,2024-05-31,AMER,,,,,1.0
130,ENT-40793,2024-06-03,APAC,,,,,0.666666667
131,ENT-40815,2024-05-29,EMEA,,,,,0.875
132,ENT-40848,2024-06-03,AMER,10.0,Promoter,,,0.863636364
133,ENT-40894,2024-06-03,AMER,,,,,1.0
134,ENT-40977,2024-06-04,AMER,,,,,0.857142857
135,ENT-40984,2024-06-04,APAC,8.0,Passive,,,0.5
136,ENT-41027,2024-06-04,EMEA,,,,,0.666666667
137,ENT-41033,2024-06-04,EMEA,,,,,1.0
138,ENT-41042,2024-06-04,EMEA,,,,,1.0
139,ENT-41060,2024-06-04,EMEA,,,,,0.571428571
140,ENT-41067,2024-06-04,AMER,,,,,1.0
141,ENT-41088,2024-06-04,AMER,,,,,1.0
142,ENT-41114,2024-06-04,AMER,,,,,1.0
143,ENT-41115,2024-06-04,AMER,,,,,1.0
144,ENT-41124,2024-06-04,APAC,,,,,0.7
145,ENT-41126,2024-06-04,AMER,,,,,1.0
146,ENT-41138,2024-06-05,EMEA,,,,,1.0
147,ENT-41143,2024-06-05,APAC,,,,,1.0
148,ENT-41160,2024-06-05,EMEA,,,,,0.5
149,ENT-41167,2024-06-05,EMEA,,,,,0.904761905
150,ENT-41169,2024-06-05,EMEA,,,,,1.0
151,ENT-41170,2024-06-05,EMEA,,,,,0.857142857
152,ENT-41182,2024-06-05,EMEA,10.0,Promoter,0.583333333333333,Positive,1.0
153,ENT-41185,2024-06-05,EMEA,,,,,1.0
154,ENT-41204,2024-06-05,EMEA,,,,,0.818181818
155,ENT-41211,2024-06-05,AMER,,,,,1.0
156,ENT-41234,2024-06-05,AMER,,,,,0.5
157,ENT-41236,2024-06-05,EMEA,,,,,1.0
158,ENT-41238,2024-06-05,AMER,,,,,0.5
159,ENT-41247,2024-06-05,AMER,,,,,1.0
160,ENT-41260,2024-06-05,AMER,,,,,0.95
161,ENT-41279,2024-06-06,AMER,,,,,1.0
162,ENT-41284,2024-06-06,APAC,,,,,0.909090909
163,ENT-41300,2024-06-06,APAC,,,,,1.0
164,ENT-41309,2024-06-06,APAC,,,,,0.666666667
165,ENT-41310,2024-06-06,EMEA,,,,,1.0
166,ENT-41313,2024-06-06,EMEA,10.0,Promoter,0.294117647058824,Positive,0.890909091
167,ENT-41338,2024-06-06,EMEA,,,,,1.0
168,ENT-41343,2024-06-06,AMER,,,,,1.0
169,ENT-41356,2024-06-06,AMER,,,,,1.0
170,ENT-41360,2024-06-05,EMEA,10.0,Promoter,0.176470588235294,Positive,1.0
171,ENT-41375,2024-06-06,AMER,,,,,0.8
172,ENT-41384,2024-06-06,EMEA,,,,,1.0
173,ENT-41465,2024-06-06,AMER,,,,,1.0
174,ENT-41480,2024-06-07,APAC,10.0,Promoter,,,0.666666667
175,ENT-41489,2024-06-07,EMEA,,,,,0.933333333
176,ENT-41496,2024-06-07,EMEA,,,,,1.0
177,ENT-41505,2024-06-07,EMEA,10.0,Promoter,,,1.0
178,ENT-41513,2024-06-07,EMEA,,,,,1.0
179,ENT-41518,2024-06-07,EMEA,,,,,0.8
180,ENT-41537,2024-06-07,EMEA,,,,,0.5
181,ENT-41556,2024-06-07,AMER,,,,,1.0
182,ENT-41561,2024-06-07,AMER,,,,,0.666666667
183,ENT-41572,2024-06-07,AMER,,,,,1.0
184,ENT-41574,2024-06-07,AMER,,,,,1.0
185,ENT-41579,2024-06-07,AMER,,,,,1.0
186,ENT-41585,2024-06-09,EMEA,,,,,1.0
187,ENT-41590,2024-06-10,APAC,,,,,1.0
188,ENT-41595,2024-05-24,EMEA,,,,,0.714285714
189,ENT-41603,2024-06-10,EMEA,,,,,0.863636364
190,ENT-41608,2024-06-10,EMEA,,,,,1.0
191,ENT-41610,2024-06-10,EMEA,6.0,Detractor,0.225806451612903,Positive,0.969230769
192,ENT-41611,2024-06-10,EMEA,,,,,1.0
193,ENT-41613,2024-06-10,AMER,,,,,0.666666667
194,ENT-41632,2024-06-10,EMEA,,,,,0.833333333
195,ENT-41634,2024-06-10,EMEA,,,,,1.0
196,ENT-41649,2024-06-10,EMEA,,,,,0.951219512
197,ENT-41655,2024-06-10,AMER,,,,,1.0
198,ENT-41660,2024-06-10,EMEA,,,,,1.0
199,ENT-41664,2024-06-08,AMER,,,,,1.0
200,ENT-41665,2024-06-10,EMEA,,,,,1.0
201,ENT-41676,2024-06-10,AMER,,,,,1.0
202,ENT-41694,2024-06-10,AMER,10.0,Promoter,,,0.625
203,ENT-41696,2024-06-10,AMER,,,,,0.875
204,ENT-41697,2024-06-10,AMER,,,,,1.0
205,ENT-41704,2024-06-10,AMER,,,,,1.0
206,ENT-41706,2024-06-10,AMER,,,,,1.0
207,ENT-41713,2024-06-11,APAC,,,,,0.8
208,ENT-41718,2024-06-11,APAC,,,,,1.0
209,ENT-41735,2024-06-11,EMEA,,,,,0.777777778
210,ENT-41739,2024-06-11,EMEA,,,,,1.0
211,ENT-41747,2024-06-11,APAC,,,,,0.5
212,ENT-41749,2024-06-10,EMEA,,,,,1.0
213,ENT-41754,2024-06-11,EMEA,,,,,1.0
214,ENT-41762,2024-06-11,EMEA,,,,,1.0
215,ENT-41765,2024-06-11,AMER,,,,,1.0
216,ENT-41767,2024-06-11,EMEA,,,,,0.5
217,ENT-41779,2024-06-11,EMEA,,,,,1.0
218,ENT-41784,2024-06-11,AMER,,,,,1.0
219,ENT-41791,2024-06-11,EMEA,,,,,1.0
220,ENT-41793,2024-06-11,AMER,,,,,0.7
221,ENT-41798,2024-06-11,EMEA,,,,,1.0
222,ENT-41799,2024-06-11,EMEA,,,,,0.75
223,ENT-41805,2024-06-11,AMER,,,,,0.625
224,ENT-41806,2024-06-11,AMER,,,,,1.0
225,ENT-41813,2024-06-11,AMER,,,,,1.0
226,ENT-41815,2024-06-11,AMER,,,,,0.75
227,ENT-41817,2024-06-11,AMER,,,,,1.0
228,ENT-41819,2024-06-11,AMER,,,,,1.0
229,ENT-41829,2024-06-11,AMER,,,,,1.0
230,ENT-41832,2024-06-11,EMEA,,,,,0.888888889
231,ENT-41848,2024-06-11,AMER,,,,,0.8
232,ENT-41849,2024-06-11,AMER,,,,,1.0
233,ENT-41861,2024-06-12,APAC,,,,,1.0
234,ENT-41868,2024-06-12,APAC,,,,,0.0
235,ENT-41877,2024-06-12,EMEA,,,,,1.0
236,ENT-41885,2024-06-12,EMEA,,,,,1.0
237,ENT-41887,2024-06-12,EMEA,,,,,1.0
238,ENT-41898,2024-06-12,EMEA,,,,,1.0
239,ENT-41906,2024-06-12,EMEA,,,,,0.714285714
240,ENT-41908,2024-06-12,EMEA,,,,,1.0
241,ENT-41910,2024-06-12,AMER,,,,,1.0
242,ENT-41927,2024-06-12,AMER,,,,,1.0
243,ENT-41928,2024-06-12,EMEA,,,,,0.5
244,ENT-41929,2024-06-11,AMER,,,,,1.0
245,ENT-41933,2024-05-31,EMEA,,,,,0.941176471
246,ENT-41943,2024-06-12,EMEA,,,,,1.0
247,ENT-41951,2024-06-12,EMEA,,,,,0.933333333
248,ENT-41957,2024-06-12,EMEA,,,,,0.714285714
249,ENT-41959,2024-06-12,AMER,,,,,1.0
250,ENT-41972,2024-06-12,AMER,,,,,0.8
251,ENT-41973,2024-06-12,AMER,,,,,1.0
252,ENT-41974,2024-06-12,AMER,,,,,1.0
253,ENT-42007,2024-06-12,AMER,8.0,Passive,,,1.0
254,ENT-42012,2024-06-12,AMER,,,,,1.0
255,ENT-42021,2024-06-13,APAC,,,,,1.0
256,ENT-42028,2024-06-13,EMEA,,,,,1.0
257,ENT-42029,2024-06-13,APAC,,,,,1.0
258,ENT-42030,2024-06-13,EMEA,,,,,1.0
259,ENT-42040,2024-06-13,APAC,,,,,1.0
260,ENT-42043,2024-06-13,EMEA,,,,,1.0
261,ENT-42048,2024-06-13,EMEA,,,,,1.0
262,ENT-42057,2024-06-13,EMEA,,,,,1.0
263,ENT-42066,2024-06-13,EMEA,,,,,0.909090909
264,ENT-42068,2024-06-13,EMEA,,,,,1.0
265,ENT-42070,2024-06-13,EMEA,,,,,1.0
266,ENT-42083,2024-06-13,EMEA,,,,,1.0
267,ENT-42092,2024-06-13,AMER,,,,,1.0
268,ENT-42094,2024-06-13,AMER,10.0,Promoter,,,0.916666667
269,ENT-42106,2024-06-13,EMEA,,,,,1.0
270,ENT-42108,2024-06-13,AMER,,,,,0.75
271,ENT-42118,2024-06-13,EMEA,,,,,0.807692308
272,ENT-42131,2024-06-13,AMER,,,,,0.0
273,ENT-42132,2024-06-13,AMER,,,,,1.0
274,ENT-42135,2024-06-13,AMER,,,,,1.0
275,ENT-42137,2024-05-13,AMER,,,,,1.0
276,ENT-42144,2024-06-13,EMEA,,,,,1.0
277,ENT-42145,2024-06-14,APAC,,,,,0.833333333
278,ENT-42146,2024-06-14,APAC,,,,,1.0
279,ENT-42147,2024-06-14,APAC,,,,,1.0
280,ENT-42151,2024-06-14,APAC,,,,,1.0
281,ENT-42154,2024-06-14,APAC,10.0,Promoter,,,1.0
282,ENT-42155,2024-06-14,AMER,,,,,0.6
283,ENT-42161,2024-06-14,EMEA,,,,,1.0
284,ENT-42163,2024-06-14,EMEA,,,,,1.0
285,ENT-42167,2024-06-14,EMEA,,,,,1.0
286,ENT-42173,2024-06-14,EMEA,,,,,1.0
287,ENT-42174,2024-06-03,EMEA,,,,,1.0
288,ENT-42176,2024-06-14,EMEA,,,,,1.0
289,ENT-42189,2024-06-14,EMEA,,,,,1.0
290,ENT-42206,2024-06-14,EMEA,,,,,1.0
291,ENT-42217,2024-06-14,AMER,,,,,0.666666667
292,ENT-42219,2024-06-14,APAC,,,,,1.0
293,ENT-42223,2024-06-14,AMER,,,,,1.0
294,ENT-42226,2024-06-13,APAC,9.0,Promoter,,,1.0
295,ENT-42229,2024-06-14,EMEA,,,,,1.0
296,ENT-42233,2024-06-14,AMER,9.0,Promoter,,,1.0
297,ENT-42252,2024-06-16,EMEA,,,,,1.0
298,ENT-42257,2024-06-17,APAC,10.0,Promoter,,,1.0
299,ENT-42265,2024-06-17,EMEA,,,,,1.0
300,ENT-42277,2024-06-17,EMEA,,,,,0.818181818
301,ENT-42278,2024-06-17,EMEA,,,,,1.0
302,ENT-42280,2024-06-17,EMEA,,,,,1.0
303,ENT-42290,2024-06-17,EMEA,,,,,1.0
304,ENT-42294,2024-06-17,AMER,10.0,Promoter,,,1.0
305,ENT-42295,2024-06-17,AMER,,,,,0.5
306,ENT-42299,2024-06-17,EMEA,,,,,1.0
307,ENT-42305,2024-06-17,AMER,,,,,1.0
308,ENT-42306,2024-06-17,EMEA,,,,,1.0
309,ENT-42307,2024-06-17,EMEA,,,,,0.5
310,ENT-42309,2024-06-17,EMEA,,,,,0.833333333
311,ENT-42311,2024-06-17,EMEA,,,,,1.0
312,ENT-42314,2024-06-17,AMER,,,,,0.5
313,ENT-42315,2024-06-17,EMEA,9.0,Promoter,,,1.0
314,ENT-42316,2024-06-17,AMER,,,,,1.0
315,ENT-42318,2024-06-13,EMEA,,,,,1.0
316,ENT-42320,2024-06-17,AMER,,,,,0.8
317,ENT-42325,2024-06-17,EMEA,,,,,1.0
318,ENT-42328,2024-06-17,AMER,,,,,1.0
319,ENT-42350,2024-06-17,EMEA,,,,,1.0
320,ENT-42353,2024-06-17,AMER,,,,,0.695652174
321,ENT-42358,2024-06-17,EMEA,,,,,1.0
322,ENT-42366,2024-06-17,AMER,,,,,0.954545455
323,ENT-42374,2024-06-17,AMER,,,,,1.0
324,ENT-42375,2024-06-17,AMER,,,,,1.0
325,ENT-42380,2024-06-17,AMER,10.0,Promoter,0.666666666666667,Positive,0.8
326,ENT-42382,2024-06-17,APAC,10.0,Promoter,,,1.0
327,ENT-42383,2024-06-17,AMER,,,,,1.0
328,ENT-42384,2024-06-17,AMER,,,,,1.0
329,ENT-42386,2024-06-17,AMER,,,,,1.0
330,ENT-42387,2024-06-17,AMER,10.0,Promoter,0.3125,Positive,1.0
331,ENT-42388,2024-06-17,AMER,,,,,0.5
332,ENT-42393,2024-06-18,APAC,,,,,1.0
333,ENT-42396,2024-06-18,APAC,,,,,0.5
334,ENT-42397,2024-06-18,APAC,,,,,1.0
335,ENT-42401,2024-06-18,APAC,,,,,0.0
336,ENT-42404,2024-06-18,APAC,,,,,1.0
337,ENT-42405,2024-06-18,EMEA,10.0,Promoter,,,0.833333333
338,ENT-42414,2024-06-18,EMEA,7.0,Passive,,,1.0
339,ENT-42418,2024-06-18,EMEA,,,,,1.0
340,ENT-42420,2024-06-18,EMEA,,,,,1.0
341,ENT-42421,2024-06-18,EMEA,,,,,1.0
342,ENT-42425,2024-06-18,EMEA,,,,,1.0
343,ENT-42431,2024-06-18,APAC,,,,,1.0
344,ENT-42434,2024-06-18,AMER,,,,,1.0
345,ENT-42437,2024-06-18,EMEA,8.0,Passive,1.0,Positive,1.0
346,ENT-42439,2024-06-18,EMEA,,,,,1.0
347,ENT-42442,2024-06-18,EMEA,,,,,1.0
348,ENT-42444,2024-06-18,EMEA,,,,,1.0
349,ENT-42447,2024-06-18,EMEA,,,,,0.75
350,ENT-42453,2024-06-18,AMER,,,,,1.0
351,ENT-42455,2024-06-18,EMEA,,,,,1.0
352,ENT-42457,2024-06-18,AMER,,,,,0.0
353,ENT-42459,2024-06-18,AMER,,,,,1.0
354,ENT-42460,2024-06-18,EMEA,,,,,1.0
355,ENT-42462,2024-06-18,EMEA,,,,,1.0
356,ENT-42464,2024-06-18,EMEA,,,,,1.0
357,ENT-42467,2024-06-17,AMER,,,,,1.0
358,ENT-42471,2024-06-18,AMER,,,,,1.0
359,ENT-42475,2024-06-18,AMER,,,,,1.0
360,ENT-42477,2024-06-18,AMER,10.0,Promoter,0.388888888888889,Positive,0.981481481
361,ENT-42495,2024-06-18,AMER,,,,,1.0
362,ENT-42498,2024-06-18,AMER,3.0,Detractor,0.0666666666666667,Positive,1.0
363,ENT-42499,2024-06-18,AMER,,,,,1.0
364,ENT-42500,2024-06-18,AMER,,,,,0.666666667
365,ENT-42502,2024-06-18,AMER,,,,,1.0
366,ENT-42503,2024-06-18,AMER,,,,,1.0
367,ENT-42506,2024-06-19,APAC,,,,,0.714285714
368,ENT-42513,2024-06-19,APAC,,,,,1.0
369,ENT-42515,2024-06-19,APAC,,,,,1.0
370,ENT-42517,2024-06-19,EMEA,,,,,1.0
371,ENT-42519,2024-06-19,APAC,,,,,1.0
372,ENT-42520,2024-06-19,APAC,,,,,1.0
373,ENT-42521,2024-06-19,EMEA,,,,,1.0
374,ENT-42526,2024-06-19,EMEA,,,,,1.0
375,ENT-42527,2024-06-19,EMEA,,,,,1.0
376,ENT-42528,2024-06-19,APAC,,,,,0.0
377,ENT-42534,2024-06-19,EMEA,10.0,Promoter,,,1.0
378,ENT-42535,2024-06-19,EMEA,,,,,0.6
379,ENT-42536,2024-06-19,EMEA,,,,,1.0
380,ENT-42543,2024-06-19,EMEA,10.0,Promoter,,,1.0
381,ENT-42552,2024-06-19,EMEA,,,,,0.875
382,ENT-42553,2024-06-19,EMEA,,,,,1.0
383,ENT-42554,2024-06-19,EMEA,,,,,1.0
384,ENT-42555,2024-06-19,EMEA,,,,,0.666666667
385,ENT-42557,2024-06-19,APAC,,,,,1.0
386,ENT-42562,2024-06-19,AMER,,,,,1.0
387,ENT-42573,2024-06-19,EMEA,,,,,1.0
388,ENT-42574,2024-06-19,EMEA,,,,,1.0
389,ENT-42575,2024-06-19,EMEA,,,,,1.0
390,ENT-42583,2024-06-19,EMEA,,,,,1.0
391,ENT-42584,2024-06-19,AMER,,,,,1.0
392,ENT-42585,2024-06-05,EMEA,,,,,1.0
393,ENT-42588,2024-06-19,EMEA,,,,,1.0
394,ENT-42592,2024-06-19,EMEA,,,,,1.0
395,ENT-42595,2024-06-19,EMEA,,,,,1.0
396,ENT-42597,2024-06-19,EMEA,,,,,1.0
397,ENT-42601,2024-06-19,AMER,9.0,Promoter,,,0.818181818
398,ENT-42602,2024-06-19,EMEA,,,,,1.0
399,ENT-42613,2024-06-19,APAC,9.0,Promoter,,,1.0
400,ENT-42617,2024-06-20,APAC,,,,,0.333333333
401,ENT-42620,2024-06-20,EMEA,,,,,1.0
402,ENT-42622,2024-06-20,APAC,10.0,Promoter,,,1.0
403,ENT-42624,2024-06-20,APAC,,,,,1.0
404,ENT-42626,2024-06-20,APAC,,,,,1.0
405,ENT-42628,2024-06-20,EMEA,,,,,1.0
406,ENT-42631,2024-06-20,EMEA,,,,,1.0
407,ENT-42632,2024-06-20,EMEA,,,,,1.0
408,ENT-42633,2024-06-20,EMEA,,,,,1.0
409,ENT-42636,2024-06-20,APAC,,,,,1.0
410,ENT-42637,2024-06-20,EMEA,,,,,1.0
411,ENT-42638,2024-06-20,EMEA,,,,,0.947368421
412,ENT-42640,2024-06-20,EMEA,,,,,1.0
413,ENT-42645,2024-06-20,EMEA,,,,,1.0
414,ENT-42650,2024-06-20,EMEA,,,,,1.0
415,ENT-42651,2024-06-20,EMEA,,,,,1.0
416,ENT-42653,2024-06-20,APAC,,,,,1.0
417,ENT-42654,2024-06-20,EMEA,,,,,1.0
418,ENT-42659,2024-06-20,EMEA,,,,,1.0
419,ENT-42663,2024-06-20,EMEA,,,,,1.0
420,ENT-42667,2024-06-20,EMEA,,,,,1.0
421,ENT-42672,2024-06-20,EMEA,,,,,1.0
422,ENT-42673,2024-06-20,APAC,,,,,1.0
423,ENT-42674,2024-06-20,EMEA,,,,,1.0
424,ENT-42675,2024-06-20,AMER,,,,,0.833333333
425,ENT-42677,2024-06-20,EMEA,,,,,1.0
426,ENT-42679,2024-06-20,EMEA,,,,,1.0
427,ENT-42685,2024-06-20,AMER,,,,,1.0
428,ENT-42686,2024-06-20,APAC,10.0,Promoter,0.375,Positive,1.0
429,ENT-42688,2024-06-20,EMEA,,,,,1.0
430,ENT-42690,2024-06-20,EMEA,10.0,Promoter,,,0.8
431,ENT-42692,2024-06-20,EMEA,,,,,1.0
432,ENT-42698,2024-06-20,EMEA,,,,,1.0
433,ENT-42699,2024-06-20,AMER,,,,,1.0
434,ENT-42700,2024-06-20,AMER,,,,,1.0
435,ENT-42701,2024-06-20,AMER,,,,,1.0
436,ENT-42703,2024-06-20,EMEA,,,,,1.0
437,ENT-42704,2024-06-20,AMER,,,,,1.0
438,ENT-42707,2024-06-20,AMER,,,,,1.0
439,ENT-42717,2024-06-20,EMEA,,,,,1.0
440,ENT-42718,2024-06-20,AMER,,,,,0.875
441,ENT-42720,2024-06-20,EMEA,,,,,1.0
442,ENT-42724,2024-06-20,AMER,,,,,0.5
443,ENT-42727,2024-06-20,AMER,8.0,Passive,,,1.0
444,ENT-42734,2024-06-20,AMER,,,,,1.0
445,ENT-42736,2024-06-20,AMER,,,,,1.0
446,ENT-42742,2024-06-21,APAC,,,,,0.875
447,ENT-42745,2024-06-21,AMER,,,,,1.0
448,ENT-42748,2024-06-21,APAC,,,,,1.0
449,ENT-42750,2024-06-21,EMEA,,,,,1.0
450,ENT-42752,2024-06-21,EMEA,,,,,1.0
451,ENT-42754,2024-06-21,EMEA,,,,,1.0
452,ENT-42755,2024-06-21,EMEA,,,,,1.0
453,ENT-42756,2024-06-21,APAC,,,,,0.666666667
454,ENT-42757,2024-06-21,EMEA,10.0,Promoter,,,1.0
455,ENT-42762,2024-06-20,EMEA,,,,,1.0
456,ENT-42763,2024-06-21,EMEA,10.0,Promoter,,,1.0
457,ENT-42765,2024-06-21,APAC,,,,,1.0
458,ENT-42766,2024-06-21,EMEA,,,,,1.0
459,ENT-42768,2024-06-21,EMEA,,,,,1.0
460,ENT-42770,2024-06-21,EMEA,,,,,0.6
461,ENT-42772,2024-06-21,EMEA,,,,,1.0
462,ENT-42773,2024-06-21,EMEA,10.0,Promoter,,,1.0
463,ENT-42774,2024-06-21,EMEA,,,,,1.0
